0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,%DMÂ³,%CF,%CPb,ASP,THR,SER,GLU,PRO,GLY,ALA,CYS,VAL,MET,ILE,LEU,TYR,PHE,HIS,LYS,ARG,TRP
Casein Red Lentil,93.56,0.20,86.48,7.78,3.35,5.64,20.05,9.77,1.35,3.16,0.78,5.02,1.45,3.84,8.39,4.83,4.59,2.74,6.96,3.12,1.08
Untreated,92.12,1.78,25.13,2.69,0.78,1.21,3.55,0.60,0.80,0.98,0.22,0.97,0.206,0.77,1.67,0.63,1.09,0.60,1.43,1.88,0.20
Extruded,95.41,1.08,26.86,3.30,0.96,1.47,4.38,0.79,0.97,1.25,0.24,1.18,0.22,0.96,1.88,0.68,1.33,0.79,1.81,2.01,0.20
Cooked,99.57,1.62,26.62,3.31,0.96,1.56,4.41,0.91,0.85,1.23,0.22,1.21,0.21,1.03,2.19,0.71,1.43,0.77,1.83,2.28,0.22
Baked,97.49,2.34,25.93,3.25,1.00,1.54,4.47,0.96,1.00,1.29,0.20,1.13,0.19,1.00,2.05,0.67,1.26,0.80,1.57,2.30,0.20
Green Lentil,,,,,,,,,,,,,,,,,,,,,
Untreated,91.38,1.13,23.93,2.81,0.83,1.31,3.86,0.90,0.87,1.15,0.20,1.02,0.19,0.89,1.75,0.67,1.17,0.66,1.61,2.22,0.18
Extruded,95.13,1.48,24.65,3.05,0.89,1.36,4.02,0.73,0.91,1.20,0.21,0.99,0.20,1.02,1.93,0.64,1.24,0.73,1.71,2.14,0.21
Cooked,99.47,2.06,25.67,3.07,0.91,1.45,4.00,0.82,0.90,1.20,0.20,1.19,0.20,1.00,2.05,0.67,1.32,0.71,1.76,2.11,0.21
Baked,97.32,2.21,25.44,2.53,0.79,1.24,3.67,0.53,0.88,1.14,0.18,1.13,0.18,0.89,1.69,0.57,1.06,0.67,1.37,1.88,0.20
